x,y,dist_center,temperature,pm25,traffic,encroachment_index,green_cover,heat_risk_index,predicted_heat_risk,lat,lon
0,0,28.284271247461906,34.15928479188994,38.61735698828815,206,1.9796910002727688,29.87062300553745,15.23509329993682,15.240106531135424,12.9,80.1
0,1,27.586228448267445,31.58260178258244,61.41658432216612,314,1.2580836121681993,14.27066371311042,14.21855363932094,14.250722929532316,12.906410256410258,80.1
0,2,26.90724809414742,33.76392434300758,50.10515284806527,251,1.8508884729488528,33.801320896321435,15.015321624024574,15.054757793524892,12.912820512820513,80.1
0,3,26.248809496813376,33.43218819316423,38.40483498342925,393,1.2007787658410145,27.550920289852524,15.01171259534172,14.97784151412224,12.91923076923077,80.1
0,4,25.6124969497314,33.313957587404545,35.72207086396655,269,1.2466656632136153,17.718471051059332,14.999940160588125,14.962691791983737,12.925641025641026,80.1
0,5,25.0,33.583118352347114,32.320234980569225,154,0.9832308858067882,6.900585896092784,15.274745610480329,15.172415407971409,12.932051282051283,80.1
0,6,24.413111231467404,34.92216445982719,38.95254451695568,234,0.1705241236872915,29.474506435478247,15.568510476858831,15.567927446023704,12.938461538461539,80.1
0,7,23.853720883753127,32.29172800930945,37.08306250206724,191,0.4401524937396013,25.63596645878136,14.387572541489009,14.39831625763758,12.944871794871796,80.1
0,8,23.323807579381203,33.14594454186216,29.422890710441,134,0.909320402078782,4.431910124182606,14.968404380964651,14.943113363879064,12.951282051282051,80.1
0,9,22.825424421026653,34.375088589206115,27.791563500289776,101,0.4251558744912447,4.824694959035586,15.510416498543355,15.474372943941148,12.957692307692309,80.1
0,10,22.36067977499789,33.60253368466734,26.065830591272963,290,0.8422847745949985,31.85775406174429,14.989566235874054,14.950478769699597,12.964102564102564,80.1
0,11,21.93171219946131,29.8290842397375,29.56103591765165,369,0.7272719958564209,12.233990858064884,13.467302266790172,13.439188617206808,12.970512820512822,80.1
0,12,21.54065922853801,34.195822274165046,21.63416760682448,351,0.045227288910538,25.5096783704823,15.305461959322566,15.28351437682136,12.976923076923077,80.1
